title,description,authors,categories
The Melody and the Master,"Her song is death. His offer is life. Disappear into this twisty tale of a ruthless heir and the sheltered, gifted orphan he chooses as both his wife and his greatest weapon against a growing list of enemies. Siofra has lived her entire life in isolation, terrified of her unrestrained dark magic. Then the unthinkable happens, and she and her brother are imprisoned for murder. Before the law can deliver their punishment, the siblings are rescued by a mysterious benefactor, whisked away to a glamorous manor in the far north, where everyone treats them like a prince and princess. Shadowfen Hall, and the surrounding forest, keeps a wall between Desemir and his rivals. His lack of heir leaves him vulnerable, but to marry within his peerage would ignite the very coup he needs to avoid. Siofra and Desemir's needs conveniently intersect. She needs protection for herself and her brother. He needs a wife and children to secure his legacy. If it all seems too good to be true, it is. Because everyone knows darkness can only be soothed, not contained. __ The Book of All Things is a series of standalone fantasy romance tales set in the vibrant, epic world first introduced by USA Today Bestselling Author Sarah M. Cradit in the Kingdom of the White Sea trilogy. The Melody and the Master is a marriage of convenience dark fantasy romance tale set in the Kingdom of the White Sea universe, with hints of Beauty and the Beast, Hades and Persephone, and Jane Eyre. It is the first story in the Darkwood Cycle of The Book of All Things. The Darkwood Cycle: Marriages of convenience, age gaps, friends to lovers, and healing love, deep in the Darkwood (medium high heat) The Melody and the Master The Hand and the Heart And more",['Sarah M. Cradit'],[]
Across the Wall: A Tale of the Abhorsen and Other Stories,"A spellbinding short story collection from bestselling fantasy author Garth Nix. Across the Wall brings together thirteen wide-ranging and gripping stories, each showcasing Garth's talent as a versatile writer and introduced by Garth himself. Whether your jaw drops as you read about Nicholas Sayre taking on a powerful blood-thirsty beast in the story set in the Old Kingdom, Nicholas Sayre and the Creature in the Case, or you howl with laughter as you follow the instructions of the Choose Your Own Adventure parody, Down to the Scum Quarter, it is clear that Garth Nix has a story for every reader. The collection also features a fascinating bonus section of frequently asked questions for which Garth provides vital answers to his readers' burning queries.",['Garth Nix'],['Young Adult Fiction']
White Gold Wielder,,['Stephen R. Donaldson'],['American fiction']
Time and the Gods,"Lord Dunsany was a prominent Anglo-Irish author and playwright. Dunsany was a prolific writer and his fantasy fiction was a major influence on other great authors such as Tolkien and Lovecraft. Dunsany was also notable for being the chess champion and pistol-shooting champion of Ireland. Many of his short story collections as well as his novel, The King of Elfand's Daughter, are still widely read today. Time and the Gods, published in 1906, is a collection of twenty fantasy short stories.",['Lord Dunsany'],[]
Alternate Worlds,"Alternate Worlds was first published in 1975 and became an instant classic, winning a Hugo award. This third edition brings the history of science fiction up to date, covering developments over the past forty years--a period that has seen the advent of technologies only imagined in the genre's Golden Age. As a literature of change, science fiction has become ever more meaningful, presaging dangers to humanity and, as Alvin Toffler wrote, guarding against ""the premature arrival of the future."" The world has begun to recognize science fiction in many different ways, incorporating its elements in products, visual media and huge conventions.",['James Gunn'],['Literary Criticism']
The Amateur Stage,,[],['Amateur theater']
Animals Real and Imagined,"A fantastic visual voyage into the world of animals, both real and imagined. There is no end to the diverse and unique creatures that Terryl Whitlatch creates for us with her solid knowledge of anatomy and boundless imagination. Especially intriguing are the 100s of anatomical notes that are dispersed among her sketches, educating and enlightening us to the foundation of living bodies and their mechanics.",['Terryl Whitlatch'],"['Anatomy, Artistic']"
Walking the Tree,"Botanica is an island, but almost all of the island is taken up by the Tree. Little knowing how they came to be here, small communities live around the coast line. The Tree provides them shelter, kindling, medicine – and a place of legends, for there are ghosts within the trees who snatch children and the dying. Lillah has come of age and is now ready to leave her community and walk the tree for five years, learning all Botanica has to teach her. Before setting off, Lillah is asked by the dying mother of a young boy to take him with her. In a country where a plague killed half the population, Morace will otherwise be killed in case he has the same disease. But can Lillah keep the boy’s secret, or will she have to resort to breaking the oldest taboo on Botanica? Another astonishingly imaginative novel from the acclaimed author of Slights. FILE UNDER: Fantasy [A Stunning World / An Epic Journey / A Terrifying Secret / Ghosts in the Tree]",['Kaaron Warren'],['Fiction']
A Fantasy of Far Japan,"Step back in time with Baron Kencho Suyematsu's ""A Fantasy of Far Japan: Summer Dream Dialogues,"" a captivating exploration of Japanese civilization and culture. Through engaging dialogues, the book offers a fascinating glimpse into the society and customs of Japan. Originally published as a window into a world both familiar and foreign, this meticulously prepared edition allows readers to experience a thoughtful perspective on Japan. Suyematsu's work provides a unique insight into the historical context of Japan, making it an invaluable resource for anyone interested in Japanese history and its societal traditions. Explore the nuances of Japanese life through the eyes of a keen observer in this classic work. Delve into a ""Summer Dream"" and discover the enduring fascination with the Land of the Rising Sun. This edition is perfect for those interested in travel, history, and the rich tapestry of Japanese civilization. This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.",['Kencho Suematsu'],['History']
The Fourth Book of Jorkens,"The Fourth Book of Jorkens, the fourth collection of Dunsany's Jorkens tales to be published, is a collection of fantasy short stories, narrated by Mr. Joseph Jorkens. It collects 33 short pieces by Lord Dunsany. The Jorkens stories are set in the London gentleman's or adventurer's club of which the title character is a member. They usually open with another member mentioning an interesting experience he has had; this rouses Jorkens, who in return for a whisky-and-soda (merely to ""moisten his throat,"" you understand!) goes the other member one better with an extraordinary tall tale, supposedly from his own past. His stories often tip well over the boundaries of the plausible, into the realms of fantasy, horror, or even science fiction, and his auditors can never be quite sure what proportion of what he relates was truly experienced and to what degree he might have embellished.",['Lord Dunsany'],['Fiction']
A Time of Blood,"Reminds me of why I became a fantasy enthusiast in the first place. Fantasy can be an escape from reality, but some stories carry the reader to an enhanced reality, a place where the world seems to have brighter colours and sharper contrasts' - Robin Hobb on A Time of Dread (book one)Defy the darkness. Defend the light . . . At the battle of Starstone Lake, Drem and his friends witnessed horrors they'll never forget. They saw magic warping men into beasts and a demon rise from the dead, creating something new and terrifying. So they flee to warn the Order of the Bright Star. But the demons' high priestess, Fritha, is determined to hunt them down.Concealed in Forn Forest, Riv struggles to understand her half-breed lineage. It represents the warrior angels' most dangerous secret, so when their high captain tracks her down, he aims to kill. Meanwhile, demonic forces are gathering a mighty war-host, to crush their enemies and rule the world of man. And the angels are already fractured and facing betrayal. Like heroes of old, Riv, Drem and the Bright Star's warriors must battle to save their land. But can the light triumph when the dark is rising?A Time of Blood, the second book in the Of Blood and Bone series, is the spectacular follow-up to A Time of Dread by John Gwynne. 'A great read that accelerates the pace and goes one up on its excellent predecessor . . . Exciting, action-packed fantasy' - Mark Lawrence'This is extraordinarily good, an epic feat of the imagination. In this series Gwynne is setting a new benchmark in fantasy. I'd love to see it on screen' - Giles Kristian",['John Gwynne'],[]
The Midnight Heist (Geronimo Stilton and the Kingdom of Fantasy #17),"Fairies, dragons, wizards, and more await Geronimo on every magical Kingdom of Fantasy adventure! Geronimo's seventeenth adventure in the Kingdom of Fantasy! Geronimo visits the Kingdom of Art in his next great adventure!",['Geronimo Stilton'],['Juvenile Fiction']
The Year's Best Science Fiction & Fantasy,"Presents a collection of short fiction for the year 2010 featuring the work of such authors as Elizabeth Bear, Peter Watts, Rachel Swirsky, Steve Gould, and Jay Lake.",['Rich Horton'],['Electronic books']
Jeff Madison and the Shimmers of Drakmere,"A magical fantasy adventure. What if there existed a dark kingdom forged on a web of evil spells, with a conniving king plotting to infiltrate the dreams of children all over the world? What if he and the wicked witch on his side could inject the sleep of every child with the most horrid of nightmares, and all they needed was one very particular boy? When Jeff's brother Matt is captured and spirited away to the kingdom of Drakmere, Jeff knows he must save him. But who are the mysterious, cloaked strangers on Matt's trail? And what do they mean when they say Matt is a dream catcher? Soon Jeff faces a choice: He can follow the strangers through the moonglow doorway into the perils of Drakmere or stay at home and risk the possibility of never seeing his brother alive again. Time is running out, because Jeff must make his choice before the last of the moonbeams passes and the doorway closes forever ...",['Bernice Fischer'],"[""Children's stories, English""]"
The Time Of Heroes,"A collection of three epic fantasy series starters by Phillip Tomasso, Jennifer Ealey and B.R. Stateham, now in one volume! Wizard's Rise (The Severed Empire Book 1): For over two hundred years, the Rye Empire outlawed the use of magic. Now, the empire has fallen and a new, sinister power is rising. Ambitious and corrupt, The Mountain King will stop at nothing to reach his goals. To save the Old Empire from this growing, sinister magic, seventeen-year-old farm boy Mykal and his friends begin a desperate journey: they must collect the talismans before the Mountain King. On their way, Mykal will have to face fears and accept truths he never knew existed. Bronze Magic (The Sorcerer's Oath Book 1): Exiled by his power-hungry brothers, Prince Tarkyn encounters the woodfolk: a secretive group of telepaths living deep in the woodlands. When bounty hunters attack, Tarkyn narrowly escapes with the aid of the forest-dwellers, and discovers a secret about their source of magic. Embracing his new identity, allegiances are formed as the woodfolk hail Tarquin as the Guardian Of The Forest. But can he find a way to protect this mysterious realm, and seize his true destiny? Evil Arises (Roland Of The High Crags Book 1): Warrior. Monk. Wizard. He is Roland Of The High Crags. As a warrior monk he has taken vows to protect humanity from all forms of evil. For centuries, that meant that the Bretan monks faced the hordes of Dragon armies. But one day, a dragon nobleman asks Roland to take his remaining heir, a seven-year-old dragon princess, and save her from those who wish to destroy her. Accepting the challenge, Roland decides to raise the child in the ways of The Bretan, and teach her the vast magical powers of the Bretan Way. It's a gamble filled with treachery and betrayal, but it is a chance to end the forever war. For Roland, there is no choice but to accept this role. And so, the adventure begins.","['Jennifer Ealey', 'Phillip Tomasso', 'B. R. Stateham']",[]
Elric of Melnibone,"Melniboné: No longer the mighty empire that once dominated the world but a waning kingdom, dependent on trade from the human nations which have begun the challenge her power. On his ruby Throne sits the albino Elric - sorcerer and warrior. A melancholy philosopher at odds with his destiny. As fleets of marauders probe the defences of the Dragon Isle, Elric faces treachery within his own court - from Yyrkoon, the cruel and ambitious cousin who dreams of usurping him.",['Michael Moorcock'],['Albinos and albinism']
Translation and Fantasy Literature in Taiwan,"This book examines the rise in popularity of fantasy literature in Taiwan and the crucial but often invisible role that translators have played in making this genre widely available. Topics covered include global fantasy fever, Chinese fantasy, game industry, the social status of translators, and the sociological direction of translations studies.",['Y. Chung'],['Language Arts & Disciplines']
Fantasy of Modernity,,['Aarti Wani'],['Love in motion pictures']
The Raven and the Rush,"One raven. One boy. One destiny. Escape into this story of fractured duty and forbidden love weaving together a fate bigger than man, bigger than magic. Evrathedyn Blackrook whiles his days away at university, blissfully oblivious to the horrors afflicting his homeland. He escapes into dusty books, content as a second son. Rhosynora Ravenwood spends her sleepless nights fantasizing of ways to escape her icy, suffocating dynasty. To flee her birthright is to invite a traitor’s penance. To stay is another kind of death. But time and fate have a way of mending all mistakes. Evra soon finds himself the new Lord Blackrook. His inheritance is a plague-ridden land, the pyres from his late father’s campaign against magic still smoldering. His realm’s future in the balance, he travels beyond his borders to a remote northern hamlet, where he meets Rhosyn. The spark between them is immediate; the suspicion even stronger. In Rhosyn, Evra sees her rare magic as the perfect answer to his troubles. In Evra, Rhosyn sees everything wrong with the depraved world of men. But Evra is out of options. And Rhosyn is out of time. As they resist the undeniable, forbidden bond growing between them, Evra’s dawning horror of Rhosyn’s fate brings him to an impossible choice. His home, or her? __ The Raven and the Rush is a forbidden love fantasy romance tale set in the Kingdom of the White Sea universe. It is the first story in the Blackwood Cycle of The Book of All Things. The second book in the duology, The Poison and the Paladin, features characters introduced in this novel. The Book of All Things is a series of fantasy romance tales set in the vibrant, epic world first introduced by USA Today Bestselling Author Sarah M. Cradit in the Kingdom of the White Sea trilogy. For content advisories, please visit sarahmcradit.com.",['Sarah M. Cradit'],['Fiction']
Camber of Culdi,"Magic and mysticism come alive in this magnificent historical fantasy from the New York Times–bestselling author of the Chronicles of the Deryni. Long before Camber was revered as a saint, he was a Deryni noble, one of the most respected of the magical race whose arcane skills set them apart from ordinary humans in the medieval kingdom of Gwynedd. For nearly a century, Camber’s family has had little choice but to loyally serve the ruling Festils, Deryni usurpers who employed dark magic to wrest the throne from the rightful Haldane liege. Now, the land suffers under the tyranny of King Imre, whose savage oppression of the human population weighs heavily on Camber’s heart—a heart that is shattered when the despot and his evil mistress-sister, Ariella, cause the death of Camber’s beloved son. The grim demands of justice and vengeance drive Camber far from his family’s estates in search of the last of the Haldane line. This descendant of kings will not be easily persuaded to accept Camber’s unthinkable plan. But with the kingdom in turmoil, the aging mage and the reluctant Haldane heir must confront together the awesome, terrible might of the Festils for the good of all. The first book in Katherine Kurtz’s epic medieval fantasy series is filled with irresistible suspense, action, adventure, and political intrigue, leading Publishers Weekly to hail the author as possessing “a rare craftsmanship with narrative exposition that is also dramatic and moving.”",['Katherine Kurtz'],['Fiction']
"Musical West, Music and the Dance",,[],['Dance']
A Dreamer's Tales,,['Lord Dunsany'],[]
The Edge,"A deadly disease outbreak intensifies the war between humans and monsters in this gripping dark fantasy from the New York Times–bestselling “master of drip-feeding horror and suspense” (The Guardian) There exists a secret and highly illegal trade in mythological creatures and their artifacts. Certain individuals pay fortunes for a sliver of a satyr’s hoof, a gryphon’s claw, a basilisk’s scale, or an angel’s wing. Embroiled in the hidden world of the Relics, creatures known as the Kin, Angela Gough is now on the run in the United States. Forty years ago, the town of Longford was the site of a deadly disease outbreak that wiped out the entire population. The infection was contained, the town isolated, and the valley in which it sits flooded and turned into a reservoir. The truth—that the outbreak was intentional, and not every resident of Longford died—disappeared beneath the waves. Now the town is revealed again. The Kin have an interest in the ruins, and soon the fairy Grace and the Nephilim leader, Mallian, are also drawn to them. When the infection rises from beneath silent waters this forgotten town becomes the focus of the looming battle between humankind and the Kin.",['Tim Lebbon'],['Fiction']
The Wonders of Wim,,['Gregwise Van Gamgee'],['Fiction']
The Mammoth Book of Short Fantasy Novels,,"['Isaac Asimov', 'Martin Harry Greenberg', 'Charles Waugh']",['American fiction']
Fantasy and Reality in History,"In Fantasy and Reality in History, Peter Loewenberg brings what the discipline of psychoanalysis has learned about human conduct and the irrational to bear on the analysis and writing of history. The result is a remarkable series of studies on individual and social anxiety, racism and nationalism, and crisis management. First examining early twentieth century Zürich and the first practitioners of psychoanalysis--Freud, C.G. Jung, Karl Abraham, and others--to establish the discipline's understanding of the unconscious and how it functions, Loewenberg then explores the tensions in the lives and politics of modern political leaders. The great British Liberal Prime Minister Walther Rathenau, and the Russian fascist demagogue Vladimir Zhirinovsky are among those studied. In each of these interconnected essays, Fantasy and Reality in History makes readily evident the advantages, and unique insights, that psychoanalytical techniques can provide in the examination of history. Loewenberg's blend of clinical and historico-political methods not only produces new exciting research, but demonstrates how it is done.",['Peter Loewenberg'],['History']
Fantasy and Myth in the Anthropocene,"""The first study to look at the intersection of the discourse of the Anthropocene within the two highly influential and perennially popular storytelling modes of fantasy and myth, this book articulates the idea that if humanity is to have a future, it needs stories that articulate visions of a biocentric, ecological civilization. As the two story systems that have been humanity's most advanced technologies for collective dreaming, fantastic fiction and myths are helping us adopt a biocentric lens, re-kin us with other forms of life, and assist us in the transition to an ecological civilization. Deliberately moving away from dystopian narratives toward anticipatory imaginations of sustainable futures, this volume blends chapters by top scholars in the fields of climate fiction, science fiction, fantasy, myth, and Young-Adult literature studies with personal reflections by award-winning authors and illustrators of speculative fiction for young audiences such as Jeff Vandermeer, Shaun Tan, Jane Yolen, Katherine Applegate and Joseph Bruchac. Covering the works of major fantasy authors such as J. R. R. Tolkien, Terry Prachett, J. K. Rowling, China Mieville, Barbara Henderson, Jeanette Winterson, John Crowly, Richard Powers, George R. R. Martin and Kim Stanley Robinson, and offering interrogations of cultural expressions set in or from the UK, USA, Nigeria, Ghana, Pacific Islands, New Zealand and Australia, this book frames fantasy and myth as spaces where visions of sustainable futures can be designed with most detail and nuance. Rather than merely criticizing the ecocidal status quo, the book asks how Fantastic stories can mobilize resistance around ideas necessary for the emergence of an ecological civilization""--","['Tereza Déedinovâa', 'Marek Oziewicz', 'Brian Attebery']",['Ecocriticism']
Flight of Fantasy,Romance. Australian author.,['Valerie Parv'],['Large print books']
A Fortress of Grey Ice,"""Wonderful . . . J.V. Jones is a striking writer."" So says Robert Jordan, the author of The Wheel of Time epic fantasy series. And Jones lives up to that praise in the highly charged epic adventure of Ash March and Raif Sevrance, two outcasts whose fates are entwined by fate and by need, in the cold, dark world that threatens to be torn asunder by a war to end all wars. They are but two of many who fight the dreaded Endlords, but both Ash and Raif are special in unique ways that isolate them, yet which also enable them to perform heroic acts that might save their world. Raif, wrongly accused and cut off from his clan by the treachery of their new headsman, has a talent for killing that is part of his curse and his burden. But he bears another burden of greater weight. Ash is a sacred warrior to the Sull, an ancient race whose numbers have declined.Raised as a foundling, she never knew her true heritage, she must learn to accept the terrible gifts of her heritage. But as Ash learns more of her greater fate, Raif's task looms dark and desperate, for he must journey through the nightmare realm of the Want, a place where even the Sull now fear to tread. For deep within the Want is the Fortress of Grey Ice, and there he must heal the breach in the Blindwall that already threatens the world. Should he fail, not even Ash's powers can save them...",['J. V. Jones'],['Fiction']
Enemy Tribe,"The breathtaking story that has enthralled readers from around the world, The Ancestors Saga continues with Book 3, Enemy Tribe... Betrayed. Captured. Terrified. The forests of home lie far behind. Nyriaana is now the captive of Khalvir, the Wove raider she mistakenly trusted with her life. Gripped by the agony of betrayal and the dire consequences her naïvety wrought, the thirst for revenge alone keeps Nyriaana breathing. Surrounded by predators, both human and animal alike, not everything is as it seems in this vast and perilous world beyond her homeland. Nyriaana must learn who to trust and learn fast if she is to survive the journey through enemy territory. One misstep and she will fall into the clutches of the mysterious chief who awaits her arrival...",['Lori Holmes'],[]
The Sword of Welleran and Other Stories,"Lord Dunsany was an Irish dramatist and storyteller. His fantasy worlds combined imagination with ingenuity to create stories full of wonder. His more than 50 works were full of fairies and gods. His kingdoms could often be macabre. These 12 tales are no exception. Included are: The Highwayman, The Ghosts, The Lord of Cities, The Fall of Babbulkund, The Kith of the Elf Folk, and The sword of Welleran.",['Edward John Moreton Dunsany'],['Fiction']
Friction and Fantasy,"Human sexuality resists simple or facile evaluations, and no generalization can do justice to the vast inventory of sexual feelings, practices, or behaviors. Our sexuality is not only a source of joy, wonderment, emotional release, and happiness, but also of frustration, revenge, intimidation, and deadly power. Coming to grips with our sexuality is no easy task, for our attempts to understand ourselves, to distinguish between reality and illusion, are mired in mythologies of the past, misinformation, moral and religious imperatives, lack of scientific knowledge, and wishful thinking. By tracing the development of our understanding, Friction and Fantasy: Opening Pandora's Box presents a historically informed way of trying to make sense of one of the most emblematic aspects of our humanity. Beginning with the seemingly simple query ""what is sex,"" Friction and Fantasy: Opening Pandora's Box provides for the general reader a wide-ranging exploration of the complexities and mysteries of our multidimensional sexual universe: sexual fantasies, why we have sex, the mythologies of our sexual anatomy, love, sexual desire and arousal, orgasm in females and males, the taboo subject of solitary sex, the controversies regarding erotic preference and gender diversity, unusual sexual practices, sexual violence (rape, pedophilia and child sexual abuse), and the dilemmas of sexual discontent. Blending scientific and historical perspectives with literary commentaries, Friction and Fantasy: Opening Pandora's Box offers a wealth of information not easily available to the general reader in a stimulating and thought-provoking manner. About the Author Ramon Pinon Jr. retired from University of California, San Diego after thirty-six years of teaching and research. He taught classes spanning a broad area of modern biology, and developed the first human reproduction course in the UCSD Biology Department in 1973. Publisher's website: http: //sbprabooks.com/RamonPinonJr",['Ramon Piñon Jr.'],['Education']
Hiding from the Council,"Continue this exciting romantic fantasy series with book 2- Hiding from the Coven, by USA today best-selling author Amelia Shaw. She’s a witch in hiding and a deadly assassin is hunting her down. I’ve been tried, convicted and sentenced to death. For treason against the High Warlock. I’ve escaped my death with help from Fae friends But they can’t keep me safe forever. There’s a bounty on my head, I’m stalked by paranormals at every turn. The Fae assassin hunting me is my father’s bodyguard, He’d rather bed me than kill me. He’s captured my body, but I need to guard my heart. I wasn’t born to hide. And must rein in the power from my parents bloodlines to survive and claim my birthright. I will not go down without a fight. ‘Charmed’ meets ‘Shadow Hunters’ in this fast paced, exciting paranormal fantasy series you won't be able to put down! Keywords: new adult romance, fantasy romance series, Fae hero, Strong heroine, family and siblings, urban fantasy.","['Amelia Shaw', 'Maggie Shaw']",['Fiction']
The Lioness of Egypt,"A murdered pharaoh. An evil sorceress. And three lion shifter kings. Sanura would do whatever it took to be the next queen of Egypt - even if it meant marrying her younger half-brother and waging war on all of Africa. But when the pharaoh is murdered and Sanura blamed for the crime, she barely escapes the city with her life. With nothing and no one to help her, Sanura finds herself at the mercy of a lion shifter African king. One of Egypt's sworn enemies. A man who would be better off with her dead. And he's not the only lion king she needs to worry about. THE LIONESS OF EGYPT is the first full-length reverse harem historical fantasy book in the SHIFTERS OF AFRICA trilogy.","['Alice Wilde', 'Leigh Anderson']",[]
The Last Book of Wonder,"Trieste Publishing has a massive catalogue of classic book titles. Our aim is to provide readers with the highest quality reproductions of fiction and non-fiction literature that has stood the test of time. The many thousands of books in our collection have been sourced from libraries and private collections around the world.The titles that Trieste Publishing has chosen to be part of the collection have been scanned to simulate the original. Our readers see the books the same way that their first readers did decades or a hundred or more years ago. Books from that period are often spoiled by imperfections that did not exist in the original. Imperfections could be in the form of blurred text, photographs, or missing pages. It is highly unlikely that this would occur with one of our books. Our extensive quality control ensures that the readers of Trieste Publishing's books will be delighted with their purchase. Our staff has thoroughly reviewed every page of all the books in the collection, repairing, or if necessary, rejecting titles that are not of the highest quality. This process ensures that the reader of one of Trieste Publishing's titles receives a volume that faithfully reproduces the original, and to the maximum degree possible, gives them the experience of owning the original work.We pride ourselves on not only creating a pathway to an extensive reservoir of books of the finest quality, but also providing value to every one of our readers. Generally, Trieste books are purchased singly - on demand, however they may also be purchased in bulk. Readers interested in bulk purchases are invited to contact us directly to enquire about our tailored bulk rates.",['Edward Johnt Plunkett'],['Literary Criticism']
The Colour of Magic,"This title, which launched the legendary Discworld series, introduces the tourist Twoflower and his wizard guide, Rincewind. Part of a reissue of the first three Discworld books, this novel includes an overview of the fantasy land, with a map, visitor's guide, and Pratchett crossword puzzle.",['Terry Pratchett'],['Fiction']
Blindfold Fantasy,"One Blindfold. One woman's deepest fantasy. Two men with an innocent scheme that changes all their lives. Forever. Playing by the rules has never gotten Jayne Simon anywhere but trapped in a dull, humdrum life with a string of boring boyfriends. The one and only time she throws caution to the wind, embracing her inner freak and her deepest fantasy, Jayne gets much more than she bargains for. On the first day at her new job, Jayne is mortified to discover that her sexy new boss, Blake Travers, is the same man with whom she let her freak flag fly. Or so she thinks. Something doesn't add up when Blake doesn't remember her, or their night of uninhibited pleasure. Irresistible CEO, Devin Kirk, was only doing Blake a favor by agreeing to spend one hot night with a woman he'd never see, fulfilling her blindfold fantasy. Since they were both wearing blindfolds, she'd never know the difference, right? What he didn't count on was having the best night of his life. When the blindfolds come off, and the truth is revealed, Jayne, Blake and Devin find their hearts in a tangled knot they're not certain they want to untie. Is three a crowd, or can they give their unconventional affair a chance to become the kind of love they never dreamed possible?",['D. Roan'],[]
Fairy Notebook Collection,"The Fairy Notebook Collection features a wide variety of Fairy Fantasy themed composition notebook covers to get you in the journaling, doodling, or fantasy writing spirit. Our notebook collection makes the perfect christmas gift or anytime gift for anyone who loves the Enchanting world of Fairy Fantasy. - Perfect for note-taking, making lists, creating poetry, or writing down your life reflections or doodling. - High-quality -- Matte cover for a professional finish - Perfect size at 8.5""x11"" --Perfect Size for notebook - Fountain pen friendly and pencil friendly - Perfect bound paperback with blank lined pages - 100 Pages Wide-Ruled Composition Notebook",['Fairy Notebook Fairy Notebook Collection'],[]
Fantasy in a Wood-block,,['Gordon R. Williams'],[]
Jonathan Strange & Mr Norrell,"The entrancing international bestseller and ""TIME("" #1 Book of the Year comes to paperback. Sophisticated, witty, and ingeniously convincing, Clarke's magisterial novel--the story of the rise of two very different magicians--weaves magic into a flawlessly detailed vision of 19th-century England.",['Susanna Clarke'],['Fairies']
The Grammar of Fantasy,"A collection of essays from the visionary storyteller Gianni Rodari about fairy tales and folk tales and their great advantages in teaching creative storytelling. ""Rodari grasped children's need to play with life's rules by using the grammar of their own imaginations. They must be encouraged to question, challenge, destroy, mock, eliminate, generate, and reproduce their own language and meanings through stories that will enable them to narrate their own lives."" --Jack Zipes ""I hope this small book,"" writes renowned children's author Gianni Rodari, ""can be useful for all those people who believe it is necessary for the imagination to have a place in education; for all those who trust in the creativity of children; and for all those who know the liberating value of the word."" Full of ideas, glosses on fairytales, stories, and wide-ranging activities, including the fantastic binomial, this book changed how creative arts were taught in Italian schools. Translated into English by acclaimed children's historian Jack Zipes and illustrated for the first time ever by Matthew Forsythe, this edition of The Grammar of Fantasy is one to live with and return to for its humor, intelligence, and truly deep understanding of children. A groundbreaking pedagogical work that is also a handbook for writers of all ages and kinds, The Grammar of Fantasy gives each of us a playful, practical path to finding our own voice through the power of storytelling. Gianni Rodari (1920-1980) grew up in Northern Italy and wrote hundreds of stories, poems, and songs for children. In 1960, he collaborated with the Education Cooperation Movement to develop exercises to encourage children's creative and critical thinking abilities. Jack Zipes is a renowned children's historian and folklorist who has written, translated, and edited dozens of books on fairytales. He is a professor at the University of Minnesota. Matthew Forsythe lives in Montreal where he draws and paints for picture books, comics, and animations.",['Gianni Rodari'],['Education']
Gifts for the One Who Comes After,"Winner of the World Fantasy Award—“Should single out Marshall as one of the most accomplished writers of the fantastic being published today” (This Is Horror). Ghost thumbs. Microscopic dogs. One very sad can of tomato soup . . . Helen Marshall’s second collection offers a series of twisted surrealities that explore the legacies we pass on to our children. A son seeks to reconnect with his father through a telescope that sees into the past. A young girl discovers what lies on the other side of her mother’s bellybutton. Death’s wife prepares for a very special funeral. In Gifts for the One Who Comes After, Marshall delivers eighteen tales of love and loss that cement her as a powerful voice in dark fantasy and the New Weird. Dazzling, disturbing, and deeply moving. “Helen Marshall is a writer who creates real people in real situations, then uses the fantastic to pry her way inside her readers’ ribcages and break us wide open.” —Neil Gaiman, New York Times–bestselling author of American Gods “Helen Marshall whispers in your ear when she fits the noose around your neck, filling you with wonder and dread, urging you into a startling, beautiful darkness. These stories—which sometimes feel more like spells—are the very best kind of unsettling.” —Benjamin Percy, author of The Dark Net “In turns chilling, heart-wrenching and uplifting. Marshall has a way with words that makes even the most peculiar seem possible, and the stories here are each so layered with character and meaning, they are like perfect, condensed novels.” —Kaaron Warren, award-winning author of Tide of Stone",['Helen Marshall'],['Fiction']
FF DOT. -The Pixel Art of Final Fantasy-,"※この商品はPCモニター、タブレットなど大きいディスプレイでの閲覧を推奨しています。※ FINAL FANTASYシリーズで生み出されてきたキャラクター、モンスター、背景などのドット絵の数々をオシャレに魅せるドットアート集が発売！ FFシリーズのドット絵の生みの親である渋谷員子のインタビューも収録。 シンプルに見えて実は表情豊かなドット絵の新たな魅力をたっぷり伝える一冊です。 ※本コンテンツは2018年1月20日に紙で発行した書籍を電子化し、収録したものです。本コンテンツに掲載されている各種情報、表示価格等は、一部を除き紙で発行した当時のものであり、その後の情報と異なっている場合がございます。何卒ご了承ください。 (C)2018 SQUARE ENIX CO., LTD. All Rights Reserved.","['株式会社スクウェア・エニックス', 'キュービスト']",['Art']
Many Are the Dead,"""The Faith requires all we have.""New York Times bestselling author Anthony Ryan returns to the Raven's Shadow world in this prequel novella set ten years before the events in Blood Song. For decades the brothers of the Sixth Order have fought a savage war against the Lonak clans amidst the frozen peaks of their Dominion. When word reaches the north of a fresh outbreak of the dreaded Red Hand, Brother Sollis, the finest swordsman in the Order, leads a small band to a long-abandoned castle in search of a potential cure but discovers a far greater threat lurking in the mountains.Enemies become allies as Sollis leads an increasingly desperate fight against an inhuman enemy steeped in the power of the Dark. Praise for the Raven's Shadow series: 'Ryan hits all the high notes of epic fantasy - a gritty setting, ancient magics, ruthless intrigue, divided loyalties, and bloody action.' - PUBLISHERS WEEKLY.'A new master storyteller has hit the scene.' - MICHAEL J. SULLIVAN, AUTHOR OF THE RIYRIA REVELATIONS.'Anthony Ryan is David Gemmell's natural successor and epic fantasy's best British talent.' - FANTASY BOOK CRITIC.",['Anthony Ryan'],['Imaginary wars and battles']
